site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,word_group,triggerfishes,5,9,6.2,2.5555555555555554,5.0,2.0,43.5,0.003115259862148554,0.9333333333333333,fish,0.07165097682941673,0.02813508011655948,False,True
utumbi,word_group,eels,5,9,1.2,0.0,1.0,0.0,40.5,0.0033589250424477467,0.8,fish,0.07389635093385043,0.02813508011655948,False,True
utumbi,word_group,wrasses,5,9,7.4,2.888888888888889,7.0,3.0,44.5,0.0036697930586816717,0.9777777777777777,fish,0.07706565423231511,0.02813508011655948,False,True
utumbi,word_group,groupers_large,5,9,2.4,1.5555555555555556,2.0,2.0,37.5,0.029742125527219585,0.6666666666666666,fish,0.5948425105443917,0.1710172217815126,False,False
utumbi,word_group,moorish_idol,5,9,1.0,2.111111111111111,1.0,2.0,9.5,0.05139168488700587,-0.5777777777777777,algae,0.9764420128531116,0.23640175048022702,False,False
utumbi,word_group,snappers,5,9,2.0,1.1111111111111112,2.0,1.0,34.0,0.10198685157821674,0.5111111111111111,fish,1.0,0.39094959771649745,False,False
utumbi,word_group,puffers,5,9,0.0,0.3333333333333333,0.0,0.0,15.0,0.19023135823336013,-0.3333333333333333,algae,1.0,0.4236580006189014,False,False
utumbi,word_group,coral_breams,5,9,0.0,0.6666666666666666,0.0,0.0,15.0,0.19404720871688397,-0.3333333333333333,algae,1.0,0.4236580006189014,False,False
utumbi,word_group,goatfishes,5,9,1.4,2.6666666666666665,1.0,2.0,13.0,0.19435157710466477,-0.4222222222222222,algae,1.0,0.4236580006189014,False,False
utumbi,word_group,emperors,5,9,1.2,0.6666666666666666,1.0,1.0,31.5,0.2026190437742572,0.4,fish,1.0,0.4236580006189014,False,False
utumbi,word_group,blennies,5,9,1.2,0.6666666666666666,1.0,1.0,31.5,0.2026190437742572,0.4,fish,1.0,0.4236580006189014,False,False
utumbi,word_group,trumpetfishes,5,9,0.8,1.2222222222222223,1.0,1.0,15.0,0.2731064388475375,-0.3333333333333333,algae,1.0,0.48894735813243073,False,False
utumbi,word_group,angelfishes,5,9,1.4,1.8888888888888888,1.0,2.0,14.5,0.2763615502487652,-0.35555555555555557,algae,1.0,0.48894735813243073,False,False
utumbi,word_group,porcupinefishes,5,9,0.0,0.2222222222222222,0.0,0.0,17.5,0.3234363510452939,-0.2222222222222222,algae,1.0,0.5184510740989499,False,False
utumbi,word_group,parrotfishes,5,9,8.8,18.77777777777778,7.0,11.0,15.0,0.34852037197103647,-0.3333333333333333,algae,1.0,0.5184510740989499,False,False
utumbi,word_group,surgeonfishes,5,9,5.0,2.888888888888889,3.0,3.0,29.5,0.3606616167644868,0.3111111111111111,fish,1.0,0.5184510740989499,False,False
utumbi,word_group,rabbitfishes,5,9,0.8,1.6666666666666667,1.0,2.0,18.0,0.56899529615353,-0.2,algae,1.0,0.7698171653841875,False,False
utumbi,word_group,fusiliers,5,9,20.0,32.55555555555556,21.0,24.0,19.0,0.6824720954905695,-0.15555555555555556,algae,1.0,0.8127210441229535,False,False
utumbi,word_group,small_ovals_damselfishes,5,9,83.6,63.0,94.0,56.0,26.0,0.688832256734949,0.15555555555555556,fish,1.0,0.8127210441229535,False,False
utumbi,word_group,butterflyfishes,5,9,2.0,1.8888888888888888,2.0,2.0,25.0,0.7100053525993941,0.1111111111111111,fish,1.0,0.8127210441229535,False,False
utumbi,word_group,elongate_sand_burrow_dwellers,5,9,0.2,0.1111111111111111,0.0,0.0,24.5,0.7420496489818271,0.08888888888888889,fish,1.0,0.8127210441229535,False,False
utumbi,word_group,filefishes,5,9,0.4,0.5555555555555556,0.0,0.0,20.5,0.8198716845506858,-0.08888888888888889,algae,1.0,0.8571385793029898,False,False
utumbi,word_group,hawkfishes,5,9,1.0,1.0,1.0,1.0,22.5,1.0,0.0,algae,1.0,1.0,False,False
