comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,acanthuridae,2,algae_strings | algaemix | mackerel,0.0,0.0,3,8.333333333333334,0.6666666666666666,3,0.0,0.0,4,Kruskal-Wallis,5.185185185185187,0.0748257955923243,epsilon_squared,0.4550264550264553,,0.6734321603309187,0.33671608016545934,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,mullidae,2,algae_strings | algaemix | mackerel,2.0,0.6666666666666666,3,0.0,0.0,3,0.0,0.0,4,Kruskal-Wallis,5.185185185185187,0.0748257955923243,epsilon_squared,0.4550264550264553,,0.6734321603309187,0.33671608016545934,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,lutjanidae,2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,2.5,0.5,4,Kruskal-Wallis,3.3333333333333264,0.1888756028375625,epsilon_squared,0.1904761904761895,,1.0,0.467104835871893,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,balistidae,1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.467104835871893,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,scaridae,1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.467104835871893,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,siganidae,1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,2.3333333333333477,0.31140322391459535,epsilon_squared,0.04761904761904967,,1.0,0.467104835871893,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,labridae,2,algae_strings | algaemix | mackerel,0.6666666666666666,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Kruskal-Wallis,1.5185185185185124,0.4680129749207059,epsilon_squared,0.0,,1.0,0.531412371833644,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,pomacentridae,1,algae_strings | algaemix | mackerel,0.0,0.0,3,0.0,0.0,3,0.75,0.25,4,Kruskal-Wallis,1.4999999999999907,0.4723665527410169,epsilon_squared,0.0,,1.0,0.531412371833644,ns,ns,ns,False,False,False
three_baits,Vergleich 3: algae_strings vs algaemix vs mackerel,family,interested_family_by_taxon,chaetodontidae,2,algae_strings | algaemix | mackerel,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Kruskal-Wallis,1.0312499999999853,0.5971272734216317,epsilon_squared,0.0,,1.0,0.5971272734216317,ns,ns,ns,False,False,False
